Date,COR
2020-12-03,90.9717788696289
2020-12-04,92.29826354980469
2020-12-07,89.17028045654297
2020-12-08,90.01276397705078
2020-12-09,90.6222152709961
2020-12-10,89.06272888183594
2020-12-11,87.88861846923828
2020-12-14,87.04608917236328
2020-12-15,88.75797271728516
2020-12-16,88.16645050048828
2020-12-17,88.49807739257812
2020-12-18,88.3815689086914
2020-12-21,87.53905487060547
2020-12-22,86.6875991821289
2020-12-23,87.15364837646484
2020-12-24,86.91165924072266
2020-12-28,86.75928497314453
2020-12-29,87.04608917236328
2020-12-30,88.01740264892578
2020-12-31,88.7436294555664
2021-01-04,87.5998306274414
2021-01-05,88.7436294555664
2021-01-06,96.37798309326172
2021-01-07,99.97274017333984
2021-01-08,99.88197326660156
2021-01-11,97.44915008544922
2021-01-12,96.69570922851562
2021-01-13,95.87872314453125
2021-01-14,95.89686584472656
2021-01-15,96.94986724853516
2021-01-19,93.9542236328125
2021-01-20,94.21749114990234
2021-01-21,95.23419952392578
2021-01-22,97.82134246826172
2021-01-25,97.013427734375
2021-01-26,98.80172729492188
2021-01-27,96.9861831665039
2021-01-28,97.04066467285156
2021-01-29,94.58966064453125
2021-02-01,97.03157043457031
2021-02-02,95.87872314453125
2021-02-03,95.79700469970703
2021-02-04,101.59764862060547
2021-02-05,99.57331848144531
2021-02-08,98.48401641845703
2021-02-09,97.52176666259766
2021-02-10,96.46873474121094
2021-02-11,95.28374481201172
2021-02-12,95.87626647949219
2021-02-16,94.2263412475586
2021-02-17,95.99475860595703
2021-02-18,95.94918823242188
2021-02-19,96.50521087646484
2021-02-22,96.73311614990234
2021-02-23,97.05213928222656
2021-02-24,95.89448547363281
2021-02-25,93.75234985351562
2021-02-26,92.26654815673828
2021-03-01,94.0440444946289
2021-03-02,95.02850341796875
2021-03-03,94.19900512695312
2021-03-04,93.87996673583984
2021-03-05,95.55722045898438
2021-03-08,98.00015258789062
2021-03-09,100.38839721679688
2021-03-10,101.93804168701172
2021-03-11,100.14225769042969
2021-03-12,102.93161010742188
2021-03-15,103.78846740722656
2021-03-16,102.87692260742188
2021-03-17,103.91608428955078
2021-03-18,105.40189361572266
2021-03-19,105.666259765625
2021-03-22,106.05819702148438
2021-03-23,103.70641326904297
2021-03-24,105.16490936279297
2021-03-25,106.96063232421875
2021-03-26,108.22769165039062
2021-03-29,108.51937866210938
2021-03-30,109.66149139404297
2021-03-31,108.7496566772461
2021-04-01,107.66278839111328
2021-04-05,107.77330780029297
2021-04-06,106.83384704589844
2021-04-07,107.28517150878906
2021-04-08,106.33647918701172
2021-04-09,107.58910369873047
2021-04-12,108.26148986816406
2021-04-13,107.87462615966797
2021-04-14,108.68516540527344
2021-04-15,109.64307403564453
2021-04-16,110.24176788330078
2021-04-19,110.0667495727539
2021-04-20,110.9878158569336
2021-04-21,111.59571838378906
2021-04-22,111.3470230102539
2021-04-23,112.04704284667969
2021-04-26,110.27859497070312
2021-04-27,109.42201232910156
2021-04-28,109.9101791381836
2021-04-29,111.6786117553711
2021-04-30,111.26412200927734
2021-05-03,114.01811218261719
2021-05-04,115.9155044555664
2021-05-05,109.4404525756836
2021-05-06,108.34436798095703
2021-05-07,111.31940460205078
2021-05-10,113.52073669433594
2021-05-11,110.61939239501953
2021-05-12,110.61017608642578
2021-05-13,110.02992248535156
2021-05-14,107.71876525878906
2021-05-17,109.18864440917969
2021-05-18,108.11627197265625
2021-05-19,109.77107238769531
2021-05-20,110.97286224365234
2021-05-21,111.00060272216797
2021-05-24,109.56770324707031
2021-05-25,106.30433654785156
2021-05-26,106.01774597167969
2021-05-27,106.32281494140625
2021-05-28,106.07320404052734
2021-06-01,105.6849365234375
2021-06-02,106.42451477050781
2021-06-03,107.97762298583984
2021-06-04,108.08853149414062
2021-06-07,109.32734680175781
2021-06-08,108.99452209472656
2021-06-09,108.53227996826172
2021-06-10,111.80490112304688
2021-06-11,110.7879867553711
2021-06-14,109.76183319091797
2021-06-15,110.03915405273438
2021-06-16,109.41976928710938
2021-06-17,109.18864440917969
2021-06-18,105.77738952636719
2021-06-21,107.81121063232422
2021-06-22,107.87593078613281
2021-06-23,107.06237030029297
2021-06-24,106.75733947753906
2021-06-25,107.55236053466797
2021-06-28,106.07320404052734
2021-06-29,106.97998809814453
2021-06-30,107.02671813964844
2021-07-01,108.84960174560547
2021-07-02,109.01786041259766
2021-07-06,107.89611053466797
2021-07-07,107.54087829589844
2021-07-08,106.97998809814453
2021-07-09,107.62498474121094
2021-07-12,108.01763153076172
2021-07-13,106.76496887207031
2021-07-14,106.15733337402344
2021-07-15,105.7834243774414
2021-07-16,105.52165985107422
2021-07-19,105.25994110107422
2021-07-20,108.8963394165039
2021-07-21,110.51358032226562
2021-07-22,112.02796173095703
2021-07-23,113.4021224975586
2021-07-26,112.91605377197266
2021-07-27,113.49562072753906
2021-07-28,113.43018341064453
2021-07-29,114.71087646484375
2021-07-30,114.2060775756836
2021-08-02,114.7295913696289
2021-08-03,115.64569091796875
2021-08-04,117.36576080322266
2021-08-05,113.94432067871094
2021-08-06,112.77580261230469
2021-08-09,112.39254760742188
2021-08-10,111.2146987915039
2021-08-11,111.46705627441406
2021-08-12,112.21492004394531
2021-08-13,112.18678283691406
2021-08-16,112.65589904785156
2021-08-17,113.47218322753906
2021-08-18,111.25790405273438
2021-08-19,111.89591979980469
2021-08-20,112.15863037109375
2021-08-23,112.28999328613281
2021-08-24,110.71372985839844
2021-08-25,110.79817199707031
2021-08-26,109.59720611572266
2021-08-27,112.48701477050781
2021-08-30,112.1398696899414
2021-08-31,114.66377258300781
2021-09-01,115.10472869873047
2021-09-02,117.26272583007812
2021-09-03,117.41284942626953
2021-09-07,116.54027557373047
2021-09-08,116.63410186767578
2021-09-09,115.96792602539062
2021-09-10,115.22669982910156
2021-09-13,116.00546264648438
2021-09-14,115.48941802978516
2021-09-15,118.03209686279297
2021-09-16,116.55904388427734
2021-09-17,115.84596252441406
2021-09-20,114.4385986328125
2021-09-21,113.99761962890625
2021-09-22,114.55117797851562
2021-09-23,114.98275756835938
2021-09-24,114.74820709228516
2021-09-27,115.05783081054688
2021-09-28,113.80058288574219
2021-09-29,116.15206146240234
2021-09-30,113.26011657714844
2021-10-01,113.60145568847656
2021-10-04,112.1981430053711
2021-10-05,112.4636459350586
2021-10-06,110.8422622680664
2021-10-07,112.42571258544922
2021-10-08,113.18424987792969
2021-10-11,116.0572509765625
2021-10-12,113.52560424804688
2021-10-13,112.68172454833984
2021-10-14,113.88591003417969
2021-10-15,113.64886474609375
2021-10-18,112.24555206298828
2021-10-19,113.62989044189453
2021-10-20,115.91503143310547
2021-10-21,116.35116577148438
2021-10-22,116.92957305908203
2021-10-25,116.24687194824219
2021-10-26,116.58821868896484
2021-10-27,113.35491943359375
2021-10-28,114.44532775878906
2021-10-29,115.69692993164062
2021-11-01,116.44597625732422
2021-11-02,118.712158203125
2021-11-03,121.64202117919922
2021-11-04,120.21026611328125
2021-11-05,120.9593276977539
2021-11-08,119.45172882080078
2021-11-09,118.20960998535156
2021-11-10,119.16727447509766
2021-11-11,119.17675018310547
2021-11-12,119.28142547607422
2021-11-15,118.40589904785156
2021-11-16,117.87297821044922
2021-11-17,118.64381408691406
2021-11-18,118.47251892089844
2021-11-19,114.69442749023438
2021-11-22,115.26541900634766
2021-11-23,117.6826400756836
2021-11-24,117.4732894897461
2021-11-26,114.41842651367188
2021-11-29,114.41842651367188
2021-11-30,110.15499877929688
2021-12-01,109.77011108398438
2021-12-02,111.42512512207031
2021-12-03,112.34884643554688
2021-12-06,114.40800476074219
2021-12-07,115.00457000732422
2021-12-08,116.28430938720703
2021-12-09,117.09259796142578
2021-12-10,118.47818756103516
2021-12-13,117.8912353515625
2021-12-14,118.64177703857422
2021-12-15,119.093994140625
2021-12-16,119.29608154296875
2021-12-17,120.45075225830078
2021-12-20,121.2493896484375
2021-12-21,122.78893280029297
2021-12-22,122.98138427734375
2021-12-23,124.63639831542969
2021-12-27,126.9168701171875
2021-12-28,127.35948181152344
2021-12-29,128.30245971679688
2021-12-30,128.71621704101562
2021-12-31,127.86943817138672
2022-01-03,127.60965728759766
2022-01-04,126.39725494384766
2022-01-05,127.49420928955078
2022-01-06,125.52163696289062
2022-01-07,128.0907745361328
2022-01-10,129.5533447265625
2022-01-11,131.29493713378906
2022-01-12,130.5829315185547
2022-01-13,129.79391479492188
2022-01-14,131.05441284179688
2022-01-18,128.75469970703125
2022-01-19,127.38835906982422
2022-01-20,127.85983276367188
2022-01-21,126.55120849609375
2022-01-24,126.58008575439453
2022-01-25,126.10858154296875
2022-01-26,125.61787414550781
2022-01-27,129.60147094726562
2022-01-28,131.6317596435547
2022-01-31,131.05441284179688
