Date,SWK
2013-02-01,56.44411087036133
2013-02-04,55.619728088378906
2013-02-05,56.51705551147461
2013-02-06,56.40033721923828
2013-02-07,55.663509368896484
2013-02-08,55.619728088378906
2013-02-11,55.393592834472656
2013-02-12,56.53165817260742
2013-02-13,56.52437210083008
2013-02-14,56.76508331298828
2013-02-15,57.23929977416992
2013-02-19,57.757286071777344
2013-02-20,56.633792877197266
2013-02-21,55.503013610839844
2013-02-22,56.49515151977539
2013-02-25,54.8172607421875
2013-02-26,55.63432693481445
2013-02-27,56.84535217285156
2013-02-28,57.414398193359375
2013-03-01,56.60460662841797
2013-03-04,56.45870590209961
2013-03-05,57.151771545410156
2013-03-06,57.283084869384766
2013-03-07,57.34912872314453
2013-03-08,57.965797424316406
2013-03-11,58.5090446472168
2013-03-12,58.56776428222656
2013-03-13,58.85407257080078
2013-03-14,59.52948760986328
2013-03-15,59.588199615478516
2013-03-18,59.133052825927734
2013-03-19,59.676307678222656
2013-03-20,59.911216735839844
2013-03-21,59.59554672241211
2013-03-22,59.881839752197266
2013-03-25,59.81576919555664
2013-03-26,59.602874755859375
2013-03-27,58.53840255737305
2013-03-28,59.44134521484375
2013-04-01,58.60449981689453
2013-04-02,58.420955657958984
2013-04-03,58.06856918334961
2013-04-04,57.54736328125
2013-04-05,56.93804168701172
2013-04-08,57.18764114379883
2013-04-09,57.11422348022461
2013-04-10,58.1273193359375
2013-04-11,58.54574203491211
2013-04-12,58.17135238647461
2013-04-15,55.98369216918945
2013-04-16,56.5930061340332
2013-04-17,56.10113525390625
2013-04-18,55.726741790771484
2013-04-19,56.08649444580078
2013-04-22,56.240638732910156
2013-04-23,56.52693557739258
2013-04-24,57.31977844238281
2013-04-25,55.74143981933594
2013-04-26,54.618228912353516
2013-04-29,54.676971435546875
2013-04-30,54.91922378540039
2013-05-01,54.588863372802734
2013-05-02,55.19820022583008
2013-05-03,56.2700080871582
2013-05-06,56.5342903137207
2013-05-07,57.760250091552734
2013-05-08,58.57510757446289
2013-05-09,58.17873001098633
2013-05-10,58.53107833862305
2013-05-13,58.37690353393555
2013-05-14,59.456050872802734
2013-05-15,59.426700592041016
2013-05-16,59.07433319091797
2013-05-17,59.41936111450195
2013-05-20,59.70566177368164
2013-05-21,60.08004379272461
2013-05-22,59.632240295410156
2013-05-23,58.47968673706055
2013-05-24,57.804283142089844
2013-05-28,58.63386535644531
2013-05-29,59.353294372558594
2013-05-30,58.905479431152344
2013-05-31,58.15666198730469
2013-06-03,58.614654541015625
2013-06-04,58.0902099609375
2013-06-05,57.07081985473633
2013-06-06,57.93506622314453
2013-06-07,58.86580276489258
2013-06-10,58.9544677734375
2013-06-11,58.7550163269043
2013-06-12,58.119747161865234
2013-06-13,58.68852233886719
2013-06-14,58.666358947753906
2013-06-17,59.12436294555664
2013-06-18,59.81873321533203
2013-06-19,58.63682174682617
