Date,MTCH
2012-10-17,14.593780517578125
2012-10-18,14.059797286987305
2012-10-19,14.067806243896484
2012-10-22,14.289408683776855
2012-10-23,13.993047714233398
2012-10-24,12.815613746643066
2012-10-25,13.429695129394531
2012-10-26,13.130664825439453
2012-10-31,12.909059524536133
2012-11-01,13.029207229614258
2012-11-02,12.604690551757812
2012-11-05,12.244250297546387
2012-11-06,12.452503204345703
2012-11-07,11.811724662780762
2012-11-08,11.475314140319824
2012-11-09,11.771674156188965
2012-11-12,11.766335487365723
2012-11-13,11.656868934631348
2012-11-14,11.480653762817383
2012-11-15,11.267060279846191
2012-11-16,11.421915054321289
2012-11-19,11.520702362060547
2012-11-20,11.312448501586914
2012-11-21,11.32045841217041
2012-11-23,11.440604209899902
2012-11-26,11.453954696655273
2012-11-27,11.560750961303711
2012-11-28,11.78769588470459
2012-11-29,12.2522611618042
2012-11-30,12.58867073059082
2012-12-03,12.594010353088379
2012-12-04,11.61414909362793
2012-12-05,11.707596778869629
2012-12-06,12.006628036499023
2012-12-07,11.990608215332031
2012-12-10,11.608810424804688
2012-12-11,11.9185209274292
2012-12-12,12.084054946899414
2012-12-13,12.057355880737305
2012-12-14,12.0546875
2012-12-17,12.276289939880371
2012-12-18,12.468523025512695
2012-12-19,12.623379707336426
2012-12-20,12.42580509185791
2012-12-21,12.401776313781738
2012-12-24,12.417795181274414
2012-12-26,12.25493049621582
2012-12-27,12.388425827026367
2012-12-28,12.343037605285645
2012-12-31,12.612701416015625
2013-01-02,12.54862117767334
2013-01-03,12.412456512451172
2013-01-04,12.532601356506348
2013-01-07,12.289639472961426
2013-01-08,12.137454986572266
2013-01-09,12.142793655395508
2013-01-10,11.526041984558105
2013-01-11,11.584782600402832
2013-01-14,11.60614013671875
2013-01-15,11.40589714050293
2013-01-16,11.315117835998535
2013-01-17,11.16827392578125
2013-01-18,11.136234283447266
2013-01-22,11.016088485717773
2013-01-23,10.759777069091797
2013-01-24,10.52749252319336
2013-01-25,10.759777069091797
2013-01-28,10.86123275756836
2013-01-29,10.853222846984863
2013-01-30,10.927980422973633
2013-01-31,11.01341724395752
2013-02-01,11.096185684204102
2013-02-04,10.989389419555664
2013-02-05,11.317789077758789
2013-02-06,11.48332405090332
2013-02-07,11.712937355041504
2013-02-08,11.67288875579834
2013-02-11,11.61414909362793
2013-02-12,11.43526554107666
2013-02-13,11.352497100830078
2013-02-14,11.098856925964355
2013-02-15,11.133563995361328
2013-02-19,11.18429183959961
2013-02-20,11.098856925964355
2013-02-21,11.098856925964355
2013-02-22,11.178953170776367
2013-02-25,10.992058753967285
2013-02-26,10.927980422973633
2013-02-27,10.90929126739502
2013-02-28,10.879921913146973
2013-03-01,11.010747909545898
2013-03-04,10.943999290466309
2013-03-05,11.376526832580566
2013-03-06,11.2937593460083
2013-03-07,11.41390609741211
2013-03-08,11.63283920288086
2013-03-11,11.640850067138672
2013-03-12,11.608810424804688
2013-03-13,11.590120315551758
2013-03-14,11.619489669799805
2013-03-15,11.531383514404297
2013-03-18,11.504682540893555
2013-03-19,11.477984428405762
2013-03-20,11.76900577545166
2013-03-21,11.667548179626465
2013-03-22,11.771674156188965
2013-03-25,11.814393997192383
2013-03-26,11.83308219909668
2013-03-27,11.720947265625
2013-03-28,11.929200172424316
2013-04-01,11.720947265625
2013-04-02,12.041336059570312
2013-04-03,11.93988037109375
2013-04-04,11.89983081817627
2013-04-05,11.865121841430664
2013-04-08,11.827743530273438
2013-04-09,11.881141662597656
2013-04-10,12.249589920043945
2013-04-11,11.841093063354492
2013-04-12,11.827743530273438
2013-04-15,11.779683113098145
2013-04-16,11.990608215332031
2013-04-17,11.814393997192383
2013-04-18,11.667548179626465
2013-04-19,11.712937355041504
2013-04-22,11.814393997192383
2013-04-23,11.955899238586426
2013-04-24,12.18017292022705
2013-04-25,12.484542846679688
2013-04-26,12.308328628540039
2013-04-29,12.204201698303223
2013-04-30,12.56731128692627
2013-05-01,12.700806617736816
2013-05-02,12.564640998840332
2013-05-03,12.874351501464844
2013-05-06,13.152024269104004
2013-05-07,13.136004447937012
2013-05-08,13.136004447937012
2013-05-09,13.0238676071167
2013-05-10,13.050565719604492
2013-05-13,13.021197319030762
2013-05-14,13.408336639404297
2013-05-15,13.712706565856934
2013-05-16,13.603239059448242
2013-05-17,13.683337211608887
2013-05-20,13.584549903869629
2013-05-21,13.7020263671875
2013-05-22,13.47508430480957
2013-05-23,13.718046188354492
2013-05-24,13.544501304626465
2013-05-28,13.53115177154541
2013-05-29,13.213431358337402
2013-05-30,13.202753067016602
2013-05-31,12.943769454956055
2013-06-03,12.871682167053223
