Date,WEC
2011-01-12,18.212886810302734
2011-01-13,18.166770935058594
2011-01-14,18.228252410888672
2011-01-18,18.26207160949707
2011-01-19,18.249773025512695
2011-01-20,18.24669647216797
2011-01-21,18.338911056518555
2011-01-24,18.55101776123047
2011-01-25,18.541791915893555
2011-01-26,18.474166870117188
2011-01-27,18.658605575561523
2011-01-28,18.452651977539062
2011-01-31,18.532573699951172
2011-02-01,18.75697135925293
2011-02-02,18.32046890258789
2011-02-03,18.11452293395996
2011-02-04,17.982343673706055
2011-02-07,18.151403427124023
2011-02-08,18.283592224121094
2011-02-09,18.243621826171875
2011-02-10,18.14438819885254
2011-02-11,18.16299819946289
2011-02-14,18.09477424621582
2011-02-15,18.203304290771484
2011-02-16,18.26533317565918
2011-02-17,18.24052619934082
2011-02-18,18.212614059448242
2011-02-22,18.209510803222656
2011-02-23,18.048261642456055
2011-02-24,18.066856384277344
2011-02-25,18.237417221069336
2011-02-28,18.358366012573242
2011-03-01,18.18470001220703
2011-03-02,18.035852432250977
2011-03-03,18.563037872314453
2011-03-04,18.488609313964844
2011-03-07,18.64365577697754
2011-03-08,19.04059600830078
2011-03-09,19.15843963623047
2011-03-10,18.600252151489258
2011-03-11,18.649866104125977
2011-03-14,18.463808059692383
2011-03-15,18.21571922302246
2011-03-16,18.0916748046875
2011-03-17,18.26533317565918
2011-03-18,18.36456871032715
2011-03-21,18.649866104125977
2011-03-22,18.65606689453125
2011-03-23,18.59404754638672
2011-03-24,18.606443405151367
2011-03-25,18.58163833618164
2011-03-28,18.470001220703125
2011-03-29,18.67466926574707
2011-03-30,18.916561126708984
2011-03-31,18.916561126708984
2011-04-01,19.084012985229492
2011-04-04,19.02199363708496
2011-04-05,18.935163497924805
2011-04-06,18.904155731201172
2011-04-07,18.75530242919922
2011-04-08,18.65606689453125
2011-04-11,18.438989639282227
2011-04-12,18.358366012573242
2011-04-13,18.37696647644043
2011-04-14,18.40178108215332
2011-04-15,18.544435501098633
2011-04-18,18.370765686035156
2011-04-19,18.420381546020508
2011-04-20,18.488609313964844
2011-04-21,18.606443405151367
2011-04-25,18.71188735961914
2011-04-26,18.978574752807617
2011-04-27,19.115026473999023
2011-04-28,19.25767707824707
2011-04-29,19.356910705566406
2011-05-02,19.338308334350586
2011-05-03,19.60500144958496
2011-05-04,19.66701889038086
2011-05-05,19.49335289001465
2011-05-06,19.307292938232422
2011-05-09,19.425134658813477
2011-05-10,19.617395401000977
2011-05-11,19.629905700683594
2011-05-12,19.823774337768555
2011-05-13,19.72997283935547
2011-05-16,19.742473602294922
2011-05-17,19.79250144958496
2011-05-18,19.77373695373535
2011-05-19,19.798749923706055
2011-05-20,19.692441940307617
2011-05-23,19.492328643798828
2011-05-24,19.467315673828125
2011-05-25,19.50484275817871
2011-05-26,19.436044692993164
2011-05-27,19.454814910888672
2011-05-31,19.55486297607422
2011-06-01,19.392271041870117
2011-06-02,19.3797607421875
2011-06-03,19.254695892333984
2011-06-06,19.123367309570312
2011-06-07,19.279708862304688
2011-06-08,19.417287826538086
2011-06-09,19.29846954345703
2011-06-10,19.17339515686035
2011-06-13,19.279708862304688
2011-06-14,19.35474967956543
2011-06-15,19.14838218688965
2011-06-16,19.279708862304688
2011-06-17,19.51734161376953
2011-06-20,19.579877853393555
2011-06-21,19.542362213134766
2011-06-22,19.392271041870117
2011-06-23,19.21092414855957
2011-06-24,19.185901641845703
2011-06-27,19.361005783081055
2011-06-28,19.511089324951172
2011-06-29,19.52985191345215
2011-06-30,19.604887008666992
2011-07-01,19.905067443847656
2011-07-05,19.77373695373535
2011-07-06,19.748722076416016
2011-07-07,19.861289978027344
2011-07-08,19.779985427856445
2011-07-11,19.51734161376953
2011-07-12,19.692441940307617
2011-07-13,19.61115264892578
2011-07-14,19.47356605529785
2011-07-15,19.579877853393555
2011-07-18,19.429790496826172
2011-07-19,19.617403030395508
2011-07-20,19.71746063232422
2011-07-21,19.95508575439453
2011-07-22,19.848783493041992
2011-07-25,19.779985427856445
2011-07-26,19.573631286621094
2011-07-27,19.55486297607422
