Date,ERIE
2011-09-12,49.226776123046875
2011-09-13,49.51934051513672
2011-09-14,49.839134216308594
2011-09-15,49.53296661376953
2011-09-16,49.635009765625
2011-09-19,49.083892822265625
2011-09-20,49.20635986328125
2011-09-21,47.74351501464844
2011-09-22,47.2468147277832
2011-09-23,46.620845794677734
2011-09-26,46.90662384033203
2011-09-27,48.212982177734375
2011-09-28,47.00867462158203
2011-09-29,48.79131317138672
2011-09-30,48.43071365356445
2011-10-03,47.192386627197266
2011-10-04,49.23856735229492
2011-10-05,49.86235427856445
2011-10-06,50.349037170410156
2011-10-07,49.06721115112305
2011-10-10,50.9522705078125
2011-10-11,50.33533477783203
2011-10-12,50.92486572265625
2011-10-13,50.842594146728516
2011-10-14,51.329307556152344
2011-10-17,50.71921920776367
2011-10-18,52.04905319213867
2011-10-19,51.6994514465332
2011-10-20,52.02164077758789
2011-10-21,53.234962463378906
2011-10-24,54.29057693481445
2011-10-25,52.83051681518555
2011-10-26,53.851905822753906
2011-10-27,55.044677734375
2011-10-28,54.65390396118164
2011-10-31,54.11922836303711
2011-11-01,52.480918884277344
2011-11-02,53.81763458251953
2011-11-03,54.270023345947266
2011-11-04,53.8656120300293
2011-11-07,53.3377799987793
2011-11-08,53.461181640625
2011-11-09,51.98739242553711
2011-11-10,52.68656539916992
2011-11-11,53.07044982910156
2011-11-14,52.52204895019531
2011-11-15,53.04989242553711
2011-11-16,51.034542083740234
2011-11-17,51.013973236083984
2011-11-18,50.520423889160156
2011-11-21,49.601871490478516
2011-11-22,49.800655364990234
2011-11-23,48.114376068115234
2011-11-25,48.676475524902344
2011-11-28,49.31397247314453
2011-11-29,48.66275405883789
2011-11-30,50.58210372924805
2011-12-01,51.493812561035156
2011-12-02,51.617210388183594
2011-12-05,51.768009185791016
2011-12-06,51.905120849609375
2011-12-07,51.87083435058594
2011-12-08,51.47324752807617
2011-12-09,52.56317901611328
2011-12-12,52.20673370361328
2011-12-13,51.9599609375
2011-12-14,52.13819885253906
2011-12-15,52.090187072753906
2011-12-16,52.28899002075195
2011-12-19,51.48696517944336
2011-12-20,52.878517150878906
2011-12-21,53.056732177734375
2011-12-22,53.00874328613281
2011-12-23,53.118431091308594
2011-12-27,53.43376159667969
2011-12-28,52.926475524902344
2011-12-29,53.48859405517578
2011-12-30,53.577728271484375
2012-01-03,52.992950439453125
2012-01-04,51.943599700927734
2012-01-05,51.957420349121094
2012-01-06,52.26115417480469
2012-01-09,52.399234771728516
2012-01-10,52.22663879394531
2012-01-11,51.8814582824707
2012-01-12,52.29566955566406
2012-01-13,52.13690185546875
2012-01-17,52.005733489990234
2012-01-18,51.971195220947266
2012-01-19,52.20591354370117
2012-01-20,52.2818603515625
2012-01-23,52.12310791015625
2012-01-24,51.97811508178711
2012-01-25,51.92287826538086
2012-01-26,51.8814582824707
2012-01-27,52.25425720214844
2012-01-30,52.50279998779297
2012-01-31,52.9307975769043
2012-02-01,53.26222610473633
2012-02-02,53.60047912597656
2012-02-03,54.48417282104492
2012-02-06,54.111366271972656
2012-02-07,54.38751220703125
2012-02-08,54.20801544189453
2012-02-09,54.470359802246094
2012-02-10,54.415122985839844
2012-02-13,54.359893798828125
2012-02-14,53.72473907470703
2012-02-15,53.33124542236328
2012-02-16,53.64882278442383
2012-02-17,53.59358215332031
2012-02-21,53.64882278442383
2012-02-22,52.854881286621094
2012-02-23,53.372642517089844
2012-02-24,53.55217361450195
2012-02-27,53.39337921142578
2012-02-28,52.86868667602539
2012-02-29,52.54419708251953
2012-03-01,52.61325454711914
2012-03-02,52.247344970703125
2012-03-05,51.929786682128906
2012-03-06,51.2463264465332
2012-03-07,51.81930160522461
2012-03-08,52.53731918334961
2012-03-09,52.26805877685547
2012-03-12,52.834171295166016
2012-03-13,53.75236511230469
2012-03-14,53.76617431640625
2012-03-15,54.166595458984375
2012-03-16,53.586666107177734
2012-03-19,53.24839782714844
2012-03-20,52.9791374206543
2012-03-21,52.84798049926758
2012-03-22,52.41304016113281
2012-03-23,52.87558364868164
2012-03-26,53.676414489746094
2012-03-27,53.63500213623047
2012-03-28,53.84211730957031
2012-03-29,53.655723571777344
2012-03-30,53.80760955810547
2012-04-02,53.61430358886719
2012-04-03,53.491214752197266
2012-04-04,53.37303924560547
2012-04-05,53.91537857055664
2012-04-09,53.2965202331543
2012-04-10,52.34394454956055
2012-04-11,52.656829833984375
2012-04-12,52.94889831542969
2012-04-13,52.364803314208984
2012-04-16,52.80286407470703
2012-04-17,53.08097457885742
2012-04-18,52.38563919067383
2012-04-19,52.587310791015625
2012-04-20,52.427371978759766
2012-04-23,52.14228439331055
2012-04-24,52.17705535888672
2012-04-25,52.378700256347656
2012-04-26,53.24786376953125
2012-04-27,53.5259895324707
2012-04-30,53.47035217285156
2012-05-01,53.2965202331543
2012-05-02,53.39387130737305
2012-05-03,53.3521728515625
2012-05-04,48.55442428588867
2012-05-07,47.6435432434082
2012-05-08,48.3666877746582
2012-05-09,48.69350051879883
2012-05-10,48.76301956176758
2012-05-11,49.02028274536133
2012-05-14,49.02028274536133
2012-05-15,49.06896209716797
2012-05-16,49.0272331237793
2012-05-17,48.679595947265625
2012-05-18,48.658729553222656
2012-05-21,48.8812255859375
2012-05-22,49.41661834716797
2012-05-23,49.361000061035156
2012-05-24,49.70171356201172
2012-05-25,49.861637115478516
2012-05-29,50.32054901123047
2012-05-30,49.74342727661133
2012-05-31,49.97288513183594
2012-06-01,48.846466064453125
2012-06-04,49.13154220581055
2012-06-05,48.92294692993164
2012-06-06,49.59046173095703
2012-06-07,49.10374450683594
2012-06-08,49.24974822998047
2012-06-11,47.84519577026367
2012-06-12,47.91471862792969
2012-06-13,47.476680755615234
2012-06-14,47.73394775390625
2012-06-15,48.512699127197266
2012-06-18,48.78388214111328
2012-06-19,49.110679626464844
2012-06-20,49.20106887817383
2012-06-21,48.23457336425781
2012-06-22,49.444435119628906
2012-06-25,48.3666877746582
2012-06-26,48.297149658203125
2012-06-27,48.679595947265625
2012-06-28,49.05506896972656
2012-06-29,49.792118072509766
2012-07-02,49.97983932495117
2012-07-03,50.493446350097656
2012-07-05,50.696678161621094
2012-07-06,50.37434387207031
2012-07-09,49.6666145324707
2012-07-10,49.414344787597656
2012-07-11,49.58952713012695
2012-07-12,49.645599365234375
2012-07-13,50.42339324951172
2012-07-16,50.33229446411133
2012-07-17,50.451419830322266
2012-07-18,50.66864013671875
2012-07-19,50.53551483154297
2012-07-20,50.08705139160156
2012-07-23,49.673622131347656
2012-07-24,49.75068664550781
2012-07-25,50.17815399169922
2012-07-26,50.549522399902344
2012-07-27,50.318267822265625
2012-07-30,50.28324890136719
2012-07-31,49.95389938354492
2012-08-01,49.372314453125
2012-08-02,49.35129165649414
2012-08-03,46.19808578491211
2012-08-06,46.07194900512695
2012-08-07,44.9508056640625
2012-08-08,44.887725830078125
2012-08-09,45.525394439697266
2012-08-10,45.13300704956055
2012-08-13,44.62848663330078
2012-08-14,44.27113342285156
2012-08-15,44.656517028808594
2012-08-16,44.43928909301758
2012-08-17,44.52338409423828
2012-08-20,44.49535369873047
2012-08-21,44.29913330078125
2012-08-22,43.89273452758789
2012-08-23,44.00482940673828
2012-08-24,44.17301559448242
2012-08-27,44.22206497192383
2012-08-28,44.572425842285156
2012-08-29,44.740604400634766
2012-08-30,44.6354866027832
2012-08-31,44.684539794921875
2012-09-04,44.5163688659668
2012-09-05,44.21506118774414
2012-09-06,44.985843658447266
2012-09-07,44.91577911376953
2012-09-10,44.600467681884766
2012-09-11,45.22409439086914
2012-09-12,44.957828521728516
2012-09-13,45.1400032043457
2012-09-14,44.845703125
2012-09-17,44.59345626831055
2012-09-18,44.69153594970703
2012-09-19,44.3552131652832
2012-09-20,44.1169548034668
2012-09-21,45.266136169433594
2012-09-24,45.455326080322266
2012-09-25,45.23810958862305
2012-09-26,44.82468795776367
2012-09-27,45.16102600097656
2012-09-28,45.03489303588867
2012-10-01,45.09796142578125
2012-10-02,45.00687026977539
2012-10-03,44.825225830078125
2012-10-04,45.49668884277344
2012-10-05,45.77939224243164
2012-10-08,45.96316146850586
2012-10-09,45.546165466308594
2012-10-10,45.30585861206055
2012-10-11,45.10087203979492
2012-10-12,44.66971969604492
2012-10-15,45.122074127197266
2012-10-16,44.63438415527344
2012-10-17,45.15034866333008
2012-10-18,45.17155838012695
2012-10-19,44.591983795166016
2012-10-22,44.217369079589844
2012-10-23,44.676788330078125
2012-10-24,44.860565185546875
2012-10-25,44.68385314941406
2012-10-26,44.238582611083984
2012-10-31,43.97706604003906
2012-11-01,44.53542709350586
2012-11-02,46.72652816772461
2012-11-05,47.037513732910156
2012-11-06,46.7759895324707
2012-11-07,46.52153778076172
2012-11-08,46.860809326171875
2012-11-09,46.95268249511719
2012-11-12,46.040916442871094
2012-11-13,45.82181167602539
2012-11-14,45.59563446044922
2012-11-15,45.67337417602539
2012-11-16,46.95976257324219
2012-11-19,46.118675231933594
2012-11-20,47.17885208129883
2012-11-21,47.87859344482422
2012-11-23,48.10477066040039
2012-11-26,48.45109558105469
2012-11-27,48.684349060058594
2012-11-28,48.37335205078125
2012-11-29,48.56418991088867
2012-11-30,50.380680084228516
2012-12-03,49.483028411865234
2012-12-04,49.808162689208984
2012-12-05,50.360713958740234
2012-12-06,50.26531219482422
2012-12-07,49.663597106933594
2012-12-10,49.971805572509766
2012-12-11,49.568214416503906
2012-12-12,49.927757263183594
2012-12-13,49.99382019042969
2012-12-14,49.98645782470703
2012-12-17,49.78834533691406
2012-12-18,50.08186340332031
2012-12-19,50.390071868896484
2012-12-20,50.71295166015625
2012-12-21,49.377403259277344
2012-12-24,49.80302429199219
2012-12-26,49.59756851196289
2012-12-27,49.31137466430664
2012-12-28,48.6142692565918
2012-12-31,50.793636322021484
2013-01-02,50.837677001953125
2013-01-03,51.4027099609375
2013-01-04,51.51276397705078
2013-01-07,51.087181091308594
2013-01-08,51.26327133178711
2013-01-09,51.69621276855469
2013-01-10,51.894351959228516
2013-01-11,51.36602020263672
2013-01-14,50.867027282714844
2013-01-15,51.10919189453125
2013-01-16,51.09449768066406
2013-01-17,50.925743103027344
2013-01-18,50.889034271240234
2013-01-22,50.925743103027344
2013-01-23,50.85969924926758
2013-01-24,50.91840362548828
2013-01-25,51.182586669921875
2013-01-28,51.26327133178711
2013-01-29,52.03377914428711
2013-01-30,51.68889617919922
2013-01-31,52.34930419921875
2013-02-01,53.2959098815918
2013-02-04,54.07372283935547
