Date,NXPI
2012-07-25,20.057193756103516
2012-07-26,20.58384132385254
2012-07-27,21.262229919433594
2012-07-30,20.637399673461914
2012-07-31,20.164318084716797
2012-08-01,19.69121551513672
2012-08-02,19.235979080200195
2012-08-03,19.905447006225586
2012-08-06,20.396394729614258
2012-08-07,21.654983520507812
2012-08-08,21.253313064575195
2012-08-09,21.18189811706543
2012-08-10,21.654983520507812
2012-08-13,21.41398048400879
2012-08-14,21.90492057800293
2012-08-15,22.32445526123047
2012-08-16,22.976062774658203
2012-08-17,23.243854522705078
2012-08-20,22.279823303222656
2012-08-21,21.690692901611328
2012-08-22,21.18189811706543
2012-08-23,21.1729736328125
2012-08-24,21.190824508666992
2012-08-27,21.878141403198242
2012-08-28,21.262229919433594
2012-08-29,20.98552131652832
2012-08-30,20.369611740112305
2012-08-31,20.815929412841797
2012-09-04,20.494583129882812
2012-09-05,20.7355899810791
2012-09-06,21.842437744140625
2012-09-07,22.154855728149414
2012-09-10,21.021228790283203
2012-09-11,22.020959854125977
2012-09-12,22.32445526123047
2012-09-13,23.591978073120117
2012-09-14,23.806201934814453
2012-09-17,23.627681732177734
2012-09-18,23.7705020904541
2012-09-19,23.493785858154297
2012-09-20,23.065330505371094
2012-09-21,22.94929313659668
2012-09-24,22.6904296875
2012-09-25,21.60143280029297
2012-09-26,21.20867919921875
2012-09-27,22.64579963684082
2012-09-28,22.32445526123047
2012-10-01,22.4047908782959
2012-10-02,22.351234436035156
2012-10-03,21.913854598999023
2012-10-04,21.913854598999023
2012-10-05,22.56546401977539
2012-10-08,22.342309951782227
2012-10-09,21.833513259887695
2012-10-10,20.70880889892578
2012-10-11,20.262500762939453
2012-10-12,19.601957321166992
2012-10-15,20.47672462463379
2012-10-16,20.914112091064453
2012-10-17,20.69988441467285
2012-10-18,20.70880889892578
2012-10-19,19.825115203857422
2012-10-22,19.38772964477539
2012-10-23,20.19109344482422
2012-10-24,18.682559967041016
2012-10-25,20.96767234802246
2012-10-26,21.44076156616211
2012-10-31,21.654983520507812
2012-11-01,23.377744674682617
2012-11-02,22.931438446044922
2012-11-05,23.04747772216797
2012-11-06,22.993921279907227
2012-11-07,22.68150520324707
2012-11-08,22.610095977783203
2012-11-09,22.342309951782227
2012-11-12,22.494056701660156
2012-11-13,21.833513259887695
2012-11-14,21.53002166748047
2012-11-15,20.521358489990234
2012-11-16,20.253576278686523
2012-11-19,20.98552131652832
2012-11-20,20.79806900024414
2012-11-21,20.84269905090332
2012-11-23,21.422903060913086
2012-11-26,21.40505599975586
2012-11-27,21.3157901763916
2012-11-28,21.592506408691406
2012-11-29,22.288753509521484
2012-11-30,21.851362228393555
2012-12-03,21.717470169067383
2012-12-04,21.538944244384766
2012-12-05,21.860288619995117
2012-12-06,21.422903060913086
2012-12-07,20.8070011138916
2012-12-10,21.262229919433594
2012-12-11,22.351234436035156
2012-12-12,22.42264747619629
2012-12-13,22.306602478027344
2012-12-14,21.86921501159668
2012-12-17,22.66364288330078
2012-12-18,23.199220657348633
2012-12-19,23.07425880432129
2012-12-20,23.26170539855957
2012-12-21,22.627946853637695
2012-12-24,22.67257308959961
2012-12-26,22.708284378051758
2012-12-27,22.699356079101562
2012-12-28,22.63687515258789
2012-12-31,23.493785858154297
2013-01-02,24.841644287109375
2013-01-03,24.71668243408203
2013-01-04,24.40426254272461
2013-01-07,24.225738525390625
2013-01-08,23.69908905029297
2013-01-09,24.02043342590332
2013-01-10,25.270105361938477
2013-01-11,24.993391036987305
2013-01-14,25.323659896850586
2013-01-15,25.25225830078125
2013-01-16,26.15379524230957
2013-01-17,26.760778427124023
2013-01-18,26.4483642578125
2013-01-22,26.073455810546875
2013-01-23,26.332321166992188
2013-01-24,26.341249465942383
2013-01-25,26.858966827392578
2013-01-28,27.224945068359375
2013-01-29,26.341249465942383
2013-01-30,26.760778427124023
2013-01-31,26.77863121032715
2013-02-01,27.457021713256836
2013-02-04,26.198429107666016
2013-02-05,26.61795997619629
2013-02-06,27.180316925048828
2013-02-07,27.207088470458984
2013-02-08,28.528167724609375
2013-02-11,28.662063598632812
2013-02-12,29.07267189025879
2013-02-13,29.26904296875
2013-02-14,29.14407730102539
2013-02-15,28.787031173706055
2013-02-19,29.19763946533203
2013-02-20,28.135419845581055
2013-02-21,27.68910789489746
2013-02-22,28.16219139099121
2013-02-25,28.064002990722656
2013-02-26,27.992597579956055
2013-02-27,28.8316593170166
2013-02-28,28.849515914916992
2013-03-01,28.733478546142578
2013-03-04,28.349647521972656
2013-03-05,28.992334365844727
2013-03-06,28.733478546142578
2013-03-07,28.590652465820312
2013-03-08,28.055084228515625
2013-03-11,28.197898864746094
2013-03-12,27.956892013549805
2013-03-13,27.876556396484375
2013-03-14,28.153268814086914
2013-03-15,27.85870361328125
2013-03-18,26.528701782226562
2013-03-19,26.492996215820312
2013-03-20,26.734006881713867
2013-03-21,26.332321166992188
2013-03-22,26.707223892211914
2013-03-25,26.707223892211914
2013-03-26,26.644739151000977
2013-03-27,26.653667449951172
2013-03-28,27.037498474121094
2013-04-01,25.761045455932617
2013-04-02,25.3682918548584
2013-04-03,24.54707908630371
2013-04-04,25.171911239624023
2013-04-05,25.48433494567871
2013-04-08,25.7967529296875
2013-04-09,26.501922607421875
2013-04-10,26.77863121032715
2013-04-11,26.653667449951172
2013-04-12,26.010984420776367
2013-04-15,24.493520736694336
2013-04-16,25.502185821533203
2013-04-17,23.708017349243164
2013-04-18,22.6904296875
2013-04-19,22.574384689331055
2013-04-22,23.00284767150879
2013-04-23,23.868682861328125
2013-04-24,24.234661102294922
2013-04-25,24.520299911499023
2013-04-26,24.395336151123047
2013-04-29,24.6363468170166
2013-04-30,24.59170913696289
2013-05-01,23.886537551879883
2013-05-02,24.314998626708984
2013-05-03,25.01124382019043
2013-05-06,25.18084144592285
2013-05-07,25.475406646728516
2013-05-08,25.92171859741211
2013-05-09,26.091312408447266
2013-05-10,26.975008010864258
2013-05-13,26.492996215820312
2013-05-14,26.992860794067383
2013-05-15,27.47488021850586
2013-05-16,26.930381774902344
2013-05-17,26.95716094970703
2013-05-20,26.930381774902344
2013-05-21,26.77863121032715
2013-05-22,26.109163284301758
2013-05-23,26.019908905029297
2013-05-24,26.466215133666992
2013-05-28,27.05534553527832
2013-05-29,27.296354293823242
2013-05-30,28.04615592956543
