Date,DUK
2012-08-06,39.12260437011719
2012-08-07,39.03084945678711
2012-08-08,39.02510452270508
2012-08-09,39.05378341674805
2012-08-10,38.91612243652344
2012-08-13,39.12834167480469
2012-08-14,39.116859436035156
2012-08-15,38.73114013671875
2012-08-16,38.68471908569336
2012-08-17,38.5687141418457
2012-08-20,38.53970718383789
2012-08-21,38.31928253173828
2012-08-22,38.284488677978516
2012-08-23,37.8436279296875
2012-08-24,37.97705078125
2012-08-27,38.000240325927734
2012-08-28,37.919036865234375
2012-08-29,37.88423156738281
2012-08-30,37.594207763671875
2012-08-31,37.57680130004883
2012-09-04,37.594207763671875
2012-09-05,37.39697265625
2012-09-06,37.70440673828125
2012-09-07,37.541988372802734
2012-09-10,37.60580062866211
2012-09-11,37.39117431640625
2012-09-12,37.15335464477539
2012-09-13,37.50719451904297
2012-09-14,37.23455810546875
2012-09-17,37.20555877685547
2012-09-18,36.637081146240234
2012-09-19,36.793701171875
2012-09-20,37.083744049072266
2012-09-21,37.170738220214844
2012-09-24,37.50138473510742
2012-09-25,37.321571350097656
2012-09-26,37.31576919555664
2012-09-27,37.159141540527344
2012-09-28,37.58259201049805
2012-10-01,37.34476852416992
2012-10-02,37.56519317626953
2012-10-03,37.57680130004883
2012-10-04,37.93062973022461
2012-10-05,37.69280242919922
2012-10-08,37.837825775146484
2012-10-09,37.87262725830078
2012-10-10,37.57680130004883
2012-10-11,37.40277099609375
2012-10-12,37.2171516418457
2012-10-15,37.44918441772461
2012-10-16,37.44918441772461
2012-10-17,37.86103057861328
2012-10-18,38.052433013916016
2012-10-19,38.000240325927734
2012-10-22,37.99444580078125
2012-10-23,37.6985969543457
2012-10-24,37.309974670410156
2012-10-25,37.559391021728516
2012-10-26,37.76820755004883
2012-10-31,38.10465621948242
2012-11-01,37.88423156738281
2012-11-02,37.66961669921875
2012-11-05,37.159141540527344
2012-11-06,37.16494369506836
2012-11-07,36.50946807861328
2012-11-08,36.28904724121094
2012-11-09,35.94100570678711
2012-11-12,35.64517593383789
2012-11-13,35.970001220703125
2012-11-14,35.67341995239258
2012-11-15,35.16244888305664
2012-11-16,35.76738357543945
2012-11-19,35.82024002075195
2012-11-20,35.70278549194336
2012-11-21,35.48548126220703
2012-11-23,35.50309371948242
2012-11-26,36.00819396972656
2012-11-27,36.17263412475586
2012-11-28,36.23724365234375
2012-11-29,36.642478942871094
2012-11-30,37.48233413696289
2012-12-03,37.570430755615234
2012-12-04,37.3531379699707
2012-12-05,37.858219146728516
2012-12-06,37.68790817260742
2012-12-07,37.776004791259766
2012-12-10,37.776004791259766
2012-12-11,37.75250244140625
2012-12-12,37.764251708984375
2012-12-13,37.54106903076172
2012-12-14,37.476470947265625
2012-12-17,38.03441619873047
2012-12-18,38.474884033203125
2012-12-19,38.02853775024414
2012-12-20,38.204734802246094
