Date,TECH
2011-04-06,16.182531356811523
2011-04-07,16.263362884521484
2011-04-08,16.110450744628906
2011-04-11,16.114822387695312
2011-04-12,16.1257381439209
2011-04-13,16.09952735900879
2011-04-14,16.095151901245117
2011-04-15,16.248077392578125
2011-04-18,16.02962875366211
2011-04-19,16.082050323486328
2011-04-20,16.379133224487305
2011-04-21,16.470895767211914
2011-04-25,16.473073959350586
2011-04-26,16.75705909729004
2011-04-27,16.776716232299805
2011-04-28,16.807294845581055
2011-04-29,16.975502014160156
2011-05-02,16.966768264770508
2011-05-03,17.45389747619629
2011-05-04,17.16118049621582
2011-05-05,16.931812286376953
2011-05-06,17.078170776367188
2011-05-09,17.202688217163086
2011-05-10,17.410207748413086
2011-05-11,17.35102653503418
2011-05-12,17.574600219726562
2011-05-13,17.480348587036133
2011-05-16,17.49788475036621
2011-05-17,17.699539184570312
2011-05-18,17.765302658081055
2011-05-19,17.82886505126953
2011-05-20,17.771875381469727
2011-05-23,17.6820068359375
2011-05-24,17.61844253540039
2011-05-25,17.723644256591797
2011-05-26,17.811328887939453
2011-05-27,17.85078239440918
2011-05-31,17.863924026489258
2011-06-01,17.703927993774414
2011-06-02,17.655704498291016
2011-06-03,17.344451904296875
2011-06-06,17.305002212524414
2011-06-07,17.44089698791504
2011-06-08,17.34006690979004
2011-06-09,17.36197853088379
2011-06-10,17.039785385131836
2011-06-13,17.013479232788086
2011-06-14,17.24143409729004
2011-06-15,16.96086883544922
2011-06-16,17.020048141479492
2011-06-17,16.95648956298828
2011-06-20,17.162525177001953
2011-06-21,17.50445556640625
2011-06-22,17.329099655151367
2011-06-23,17.2852725982666
2011-06-24,17.48473358154297
2011-06-27,17.914342880249023
2011-06-28,18.2277889251709
2011-06-29,18.148874282836914
2011-06-30,18.273813247680664
2011-07-01,18.4250545501709
2011-07-05,18.648630142211914
2011-07-06,18.65958595275879
2011-07-07,18.54341697692871
2011-07-08,18.45794105529785
2011-07-11,17.966947555541992
2011-07-12,17.980104446411133
2011-07-13,17.923114776611328
2011-07-14,17.9362735748291
2011-07-15,18.010784149169922
2011-07-18,17.686389923095703
2011-07-19,17.888044357299805
2011-07-20,17.771875381469727
2011-07-21,17.754331588745117
2011-07-22,17.692960739135742
2011-07-25,17.535140991210938
2011-07-26,17.294042587280273
2011-07-27,16.89730453491211
2011-07-28,16.691267013549805
2011-07-29,16.61235809326172
2011-08-01,15.95259952545166
2011-08-02,16.671539306640625
2011-08-03,16.623315811157227
2011-08-04,15.849574089050293
2011-08-05,15.790398597717285
2011-08-08,15.312566757202148
2011-08-09,15.985480308532715
2011-08-10,15.162664413452148
2011-08-11,15.706075668334961
2011-08-12,15.950278282165527
2011-08-15,16.225290298461914
2011-08-16,16.031681060791016
2011-08-17,16.005285263061523
2011-08-18,14.966856002807617
2011-08-19,15.125262260437012
2011-08-22,15.096667289733887
2011-08-23,15.721473693847656
2011-08-24,15.86228084564209
2011-08-25,15.332062721252441
2011-08-26,15.565274238586426
2011-08-29,15.802877426147461
2011-08-30,15.785270690917969
2011-08-31,15.94367790222168
2011-09-01,15.961278915405273
2011-09-02,15.560871124267578
2011-09-06,15.446470260620117
2011-09-07,15.906272888183594
2011-09-08,15.818281173706055
2011-09-09,15.351866722106934
2011-09-12,15.206664085388184
2011-09-13,15.54106616973877
2011-09-14,16.062482833862305
2011-09-15,16.051477432250977
2011-09-16,15.932679176330566
2011-09-19,15.657671928405762
2011-09-20,15.657671928405762
2011-09-21,15.200063705444336
2011-09-22,14.839256286621094
2011-09-23,15.109855651855469
2011-09-26,15.140663146972656
2011-09-27,15.512467384338379
2011-09-28,15.015263557434082
2011-09-29,15.171466827392578
