Date,CI
2014-04-24,73.00660705566406
2014-04-25,72.51978302001953
2014-04-28,71.42672729492188
2014-04-29,71.50936889648438
2014-04-30,73.52102661132812
2014-05-01,75.3673095703125
2014-05-02,75.92762756347656
2014-05-05,76.9564208984375
2014-05-06,77.03907775878906
2014-05-07,78.41687774658203
2014-05-08,78.628173828125
2014-05-09,79.44568634033203
2014-05-12,81.31952667236328
2014-05-13,81.20012664794922
2014-05-14,81.19093322753906
2014-05-15,80.33665466308594
2014-05-16,80.36422729492188
2014-05-19,81.2552261352539
2014-05-20,81.19093322753906
2014-05-21,81.91657257080078
2014-05-22,81.53996276855469
2014-05-23,81.9717025756836
2014-05-27,81.86148834228516
2014-05-28,82.18296813964844
2014-05-29,82.76165771484375
2014-05-30,82.46769714355469
2014-06-02,83.08314514160156
2014-06-03,83.03722381591797
2014-06-04,83.04640197753906
2014-06-05,82.9361801147461
2014-06-06,82.9729232788086
2014-06-09,82.5228271484375
2014-06-10,82.5228271484375
2014-06-11,84.01087951660156
2014-06-12,83.34953308105469
2014-06-13,83.60671997070312
2014-06-16,83.31279754638672
2014-06-17,82.6697769165039
2014-06-18,83.20256042480469
2014-06-19,83.92823028564453
2014-06-20,84.3783187866211
2014-06-23,84.01087951660156
2014-06-24,82.927001953125
2014-06-25,84.6079330444336
2014-06-26,83.90983581542969
2014-06-27,84.43342590332031
2014-06-30,84.47935485839844
2014-07-01,85.07640075683594
2014-07-02,85.27848815917969
2014-07-03,86.0317153930664
2014-07-07,84.90190124511719
2014-07-08,84.43342590332031
2014-07-09,84.98454284667969
2014-07-10,84.782470703125
2014-07-11,85.75614166259766
2014-07-14,86.5461196899414
2014-07-15,86.38994598388672
2014-07-16,86.30728149414062
2014-07-17,86.79411315917969
2014-07-18,88.47505187988281
2014-07-21,87.74938201904297
2014-07-22,88.53934478759766
2014-07-23,88.91595458984375
2014-07-24,88.87003326416016
2014-07-25,87.96066284179688
2014-07-28,88.98027038574219
2014-07-29,86.92268371582031
2014-07-30,85.8847427368164
2014-07-31,82.70654296875
2014-08-01,83.36791229248047
2014-08-04,84.3323745727539
2014-08-05,83.4689712524414
2014-08-06,84.02009582519531
2014-08-07,81.52162170410156
2014-08-08,83.22091674804688
2014-08-11,82.67900848388672
2014-08-12,83.10154724121094
2014-08-13,83.90066528320312
2014-08-14,85.39790344238281
2014-08-15,85.02130126953125
2014-08-18,85.56324768066406
2014-08-19,86.05008697509766
2014-08-20,86.29808807373047
2014-08-21,86.31644439697266
2014-08-22,85.5540542602539
2014-08-25,85.68265533447266
2014-08-26,86.12355041503906
2014-08-27,86.784912109375
