Date,RMD
2015-01-23,56.97798156738281
2015-01-26,58.66355895996094
2015-01-27,56.943050384521484
2015-01-28,55.3011474609375
2015-01-29,55.047847747802734
2015-01-30,54.55878829956055
2015-02-02,54.6635856628418
2015-02-03,55.48453140258789
2015-02-04,55.126461029052734
2015-02-05,55.807682037353516
2015-02-06,55.746559143066406
2015-02-09,55.239994049072266
2015-02-10,55.950557708740234
2015-02-11,57.10853576660156
2015-02-12,57.424339294433594
2015-02-13,58.11736297607422
2015-02-17,58.2752571105957
2015-02-18,57.88051223754883
2015-02-19,57.16117477416992
2015-02-20,57.70504379272461
2015-02-23,57.74015808105469
2015-02-24,57.3541374206543
2015-02-25,57.257652282714844
2015-02-26,56.354087829589844
2015-02-27,56.45936965942383
2015-03-02,56.810272216796875
2015-03-03,56.57341384887695
2015-03-04,56.88044357299805
2015-03-05,57.643653869628906
2015-03-06,57.766456604003906
2015-03-09,59.0384635925293
2015-03-10,58.1436767578125
2015-03-11,59.28411102294922
2015-03-12,60.2665901184082
2015-03-13,59.468326568603516
2015-03-16,62.30181884765625
2015-03-17,62.170230865478516
2015-03-18,63.547481536865234
2015-03-19,62.88955307006836
2015-03-20,62.94218444824219
2015-03-23,63.4246711730957
2015-03-24,62.5825309753418
2015-03-25,61.74038314819336
2015-03-26,61.626319885253906
2015-03-27,62.76675796508789
2015-03-30,62.85447311401367
2015-03-31,62.968502044677734
2015-04-01,62.62636947631836
2015-04-02,63.61765670776367
2015-04-06,64.81948852539062
2015-04-07,63.521183013916016
2015-04-08,63.986122131347656
2015-04-09,64.77561950683594
2015-04-10,65.63533020019531
2015-04-13,65.60022735595703
2015-04-14,64.73176574707031
2015-04-15,64.06507873535156
2015-04-16,63.38081359863281
2015-04-17,63.05623245239258
2015-04-20,63.968563079833984
2015-04-21,64.13523864746094
2015-04-22,64.2844009399414
2015-04-23,64.37207794189453
2015-04-24,57.63487243652344
2015-04-27,56.626033782958984
2015-04-28,56.740081787109375
2015-04-29,56.2225227355957
2015-04-30,56.09091567993164
2015-05-01,56.827816009521484
2015-05-04,57.59101486206055
2015-05-05,56.67866897583008
2015-05-06,56.871673583984375
2015-05-07,57.169925689697266
2015-05-08,57.564693450927734
2015-05-11,57.547149658203125
2015-05-12,57.34538269042969
2015-05-13,48.66944885253906
2015-05-14,49.52914810180664
2015-05-15,49.30107498168945
2015-05-18,49.836181640625
2015-05-19,50.10066604614258
2015-05-20,50.47092819213867
2015-05-21,50.53263854980469
2015-05-22,50.32105255126953
2015-05-26,50.62080001831055
2015-05-27,51.22028732299805
2015-05-28,51.70515823364258
2015-05-29,51.855010986328125
2015-06-01,52.31344985961914
2015-06-02,52.613182067871094
2015-06-03,52.53384017944336
2015-06-04,52.53384017944336
2015-06-05,52.59555435180664
2015-06-08,51.952003479003906
2015-06-09,51.749229431152344
2015-06-10,51.83737564086914
2015-06-11,52.101863861083984
2015-06-12,51.62580108642578
2015-06-15,51.61698913574219
2015-06-16,50.9205322265625
2015-06-17,50.382774353027344
2015-06-18,50.42684555053711
2015-06-19,50.74421691894531
2015-06-22,51.140926361083984
2015-06-23,50.038963317871094
2015-06-24,49.633419036865234
2015-06-25,49.53644561767578
2015-06-26,49.27196502685547
2015-06-29,48.87525177001953
2015-06-30,49.69512939453125
2015-07-01,48.751834869384766
2015-07-02,48.76064682006836
2015-07-06,48.82236099243164
2015-07-07,49.92435073852539
2015-07-08,49.37776184082031
2015-07-09,50.04775619506836
2015-07-10,50.29460906982422
2015-07-13,50.603172302246094
2015-07-14,50.76184844970703
2015-07-15,50.50620651245117
2015-07-16,50.946983337402344
2015-07-17,50.55026626586914
2015-07-20,50.3563232421875
2015-07-21,50.038963317871094
2015-07-22,49.853816986083984
2015-07-23,49.606971740722656
2015-07-24,49.29841232299805
2015-07-27,48.63721466064453
2015-07-28,49.98604965209961
2015-07-29,49.29841232299805
2015-07-30,49.474727630615234
2015-07-31,51.088043212890625
2015-08-03,48.83999252319336
2015-08-04,49.2807731628418
2015-08-05,48.97223663330078
2015-08-06,48.33749008178711
2015-08-07,48.38156509399414
2015-08-10,48.87525177001953
2015-08-11,48.62839889526367
2015-08-12,48.64603805541992
2015-08-13,48.751834869384766
2015-08-14,49.23670196533203
2015-08-17,48.751834869384766
2015-08-18,48.65433120727539
2015-08-19,48.27316665649414
2015-08-20,47.80339431762695
2015-08-21,46.53582763671875
2015-08-24,43.912105560302734
2015-08-25,44.7807731628418
2015-08-26,45.924217224121094
2015-08-27,45.78239440917969
2015-08-28,46.50925064086914
2015-08-31,46.03945541381836
2015-09-01,44.98466491699219
2015-09-02,46.01286315917969
2015-09-03,45.76467514038086
2015-09-04,45.35691833496094
2015-09-08,46.01286315917969
2015-09-09,44.68327713012695
2015-09-10,44.95805358886719
2015-09-11,45.63172149658203
2015-09-14,45.16191482543945
2015-09-15,45.11759948730469
2015-09-16,45.11759948730469
2015-09-17,45.42784881591797
2015-09-18,45.20624923706055
2015-09-21,44.559165954589844
2015-09-22,44.13370132446289
2015-09-23,44.089393615722656
2015-09-24,45.84444808959961
2015-09-25,44.7807731628418
2015-09-28,43.81459426879883
2015-09-29,44.869407653808594
2015-09-30,45.170780181884766
2015-10-01,45.42784881591797
2015-10-02,45.80012512207031
2015-10-05,46.67766189575195
2015-10-06,46.90812301635742
2015-10-07,47.9274787902832
2015-10-08,47.7856559753418
2015-10-09,48.13134765625
2015-10-12,48.35295867919922
2015-10-13,48.32637023925781
2015-10-14,48.97342300415039
2015-10-15,49.93074035644531
2015-10-16,50.08143615722656
2015-10-19,51.31351089477539
2015-10-20,50.04597854614258
2015-10-21,49.824363708496094
2015-10-22,49.19502258300781
2015-10-23,49.859825134277344
2015-10-26,49.8509635925293
2015-10-27,50.88805389404297
2015-10-28,51.14509582519531
2015-10-29,50.79941177368164
2015-10-30,51.065330505371094
2015-11-02,51.60603332519531
2015-11-03,51.90739440917969
2015-11-04,51.88079833984375
2015-11-05,51.836490631103516
2015-11-06,51.73012924194336
2015-11-09,51.384437561035156
2015-11-10,51.3223876953125
2015-11-11,51.73898696899414
2015-11-12,50.843727111816406
2015-11-13,50.80827331542969
2015-11-16,50.90578079223633
2015-11-17,51.3067512512207
2015-11-18,51.80572509765625
2015-11-19,51.89484786987305
2015-11-20,52.67896270751953
2015-11-23,52.08195877075195
2015-11-24,52.65223693847656
2015-11-25,53.0532112121582
2015-11-27,53.48091125488281
2015-11-30,53.07992935180664
2015-12-01,53.40072250366211
2015-12-02,53.365074157714844
2015-12-03,51.966129302978516
2015-12-04,51.502777099609375
2015-12-07,50.37114334106445
2015-12-08,50.273128509521484
2015-12-09,49.06131362915039
2015-12-10,49.61375045776367
2015-12-11,49.284061431884766
2015-12-14,49.595924377441406
2015-12-15,49.640480041503906
2015-12-16,50.014732360839844
2015-12-17,49.177127838134766
2015-12-18,48.11677932739258
2015-12-21,47.14553451538086
2015-12-22,47.70689010620117
2015-12-23,48.22370147705078
2015-12-24,48.045509338378906
2015-12-28,48.22370147705078
2015-12-29,48.562313079833984
2015-12-30,48.446468353271484
2015-12-31,47.84054183959961
2016-01-04,46.521793365478516
2016-01-05,46.72674560546875
2016-01-06,45.80004119873047
2016-01-07,46.20994186401367
2016-01-08,46.44160461425781
2016-01-11,46.61981201171875
2016-01-12,47.3415641784668
