Date,Close,Volume
2016-11-10,69.77361297607422,2854100
2016-11-11,69.90744018554688,2290400
2016-11-14,69.22943115234375,1971000
2016-11-15,69.36324310302734,2839600
2016-11-16,68.70307922363281,2253500
2016-11-17,69.68441772460938,2315400
2016-11-18,69.0599365234375,2023100
2016-11-21,69.42568969726562,1330800
2016-11-22,69.34539031982422,1686000
2016-11-23,69.3900146484375,1205200
2016-11-25,70.16616821289062,833900
2016-11-28,70.28263854980469,1571700
2016-11-29,70.43495178222656,1648200
2016-11-30,69.61961364746094,2557600
2016-12-01,68.01575469970703,2188500
2016-12-02,67.9530258178711,2007400
2016-12-05,69.13577270507812,2759700
2016-12-06,69.4045639038086,2510000
2016-12-07,70.18407440185547,2564500
2016-12-08,71.04425048828125,2054600
2016-12-09,71.42057037353516,1618800
2016-12-12,70.0945053100586,2808800
2016-12-13,70.54247283935547,2195100
2016-12-14,69.85254669189453,3106900
2016-12-15,69.51207733154297,3175900
2016-12-16,68.21287536621094,4157000
2016-12-19,68.3472671508789,2437700
2016-12-20,69.55689239501953,2225200
2016-12-21,69.99592590332031,1972200
2016-12-22,70.58728790283203,2302600
2016-12-23,70.22888946533203,1289700
2016-12-27,70.0945053100586,1123700
2016-12-28,69.18952178955078,1221400
2016-12-29,69.23431396484375,852800
2016-12-30,68.53541564941406,1237400
2017-01-03,69.2880859375,2075900
2017-01-04,70.5156021118164,1550500
2017-01-05,70.4260025024414,1587500
2017-01-06,70.92774963378906,1634600
2017-01-09,70.10343933105469,1397200
2017-01-10,69.30598449707031,2472400
2017-01-11,70.18407440185547,2787800
2017-01-12,70.90985107421875,3338600
2017-01-13,70.59625244140625,1933200
2017-01-17,71.5460205078125,2253300
2017-01-18,71.02631378173828,1615900
2017-01-19,70.68582153320312,1720300
2017-01-20,71.34886169433594,1853200
2017-01-23,71.36682891845703,1188600
2017-01-24,72.38825225830078,1283400
2017-01-25,73.48138427734375,1996500
2017-01-26,73.43656921386719,2746600
2017-01-27,72.54057312011719,1189100
2017-01-30,72.4599380493164,1672500
2017-01-31,72.76457977294922,1891000
2017-02-01,71.60871124267578,4869500
2017-02-02,73.472412109375,5021800
2017-02-03,74.38633728027344,3395500
2017-02-06,74.20713806152344,2114500
2017-02-07,74.7268295288086,2402500
2017-02-08,73.91146087646484,2263800
2017-02-09,74.06377410888672,1535200
2017-02-10,74.00106811523438,1684800
2017-02-13,74.00106811523438,1048900
2017-02-14,74.59242248535156,1666600
2017-02-15,74.85226440429688,2035800
2017-02-16,74.6103286743164,1530100
2017-02-17,76.16043090820312,6467700
2017-02-21,75.83786010742188,2411100
2017-02-22,75.44361114501953,1600100
2017-02-23,75.28235626220703,1501400
2017-02-24,75.34532165527344,1225200
2017-02-27,74.64360046386719,1264600
2017-02-28,74.53564453125,1556200
2017-03-01,75.61520385742188,1622900
2017-03-02,74.59862518310547,3459500
2017-03-03,74.62562561035156,1371800
2017-03-06,74.4096908569336,1184100
2017-03-07,74.46369171142578,1274100
2017-03-08,74.60762786865234,1126700
2017-03-09,74.56265258789062,958600
2017-03-10,77.17161560058594,3603700
2017-03-13,76.80276489257812,1523600
2017-03-14,76.27196502685547,1126000
2017-03-15,76.76679992675781,1412700
2017-03-16,76.99168395996094,915300
2017-03-17,77.33354187011719,2237900
2017-03-20,77.8283462524414,2210900
2017-03-21,77.80135345458984,2149500
2017-03-22,77.8463363647461,1226600
2017-03-23,77.83735656738281,1348100
2017-03-24,77.3785629272461,1888200
2017-03-27,77.20758056640625,1786100
2017-03-28,77.0186767578125,1591100
2017-03-29,76.93771362304688,1300600
2017-03-30,76.77576446533203,1373600
2017-03-31,76.28096008300781,2078600
2017-04-03,75.12041473388672,2666400
2017-04-04,76.52385711669922,2691500
2017-04-05,76.68582153320312,2665200
2017-04-06,75.90311431884766,1809700
2017-04-07,75.70520782470703,1096300
2017-04-10,76.21798706054688,1074600
2017-04-11,76.33494567871094,994600
2017-04-12,76.3979263305664,934100
2017-04-13,76.41590881347656,1043500
2017-04-17,76.79373931884766,765000
2017-04-18,77.63043212890625,2110100
2017-04-19,77.02767944335938,1507300
2017-04-20,77.39653015136719,1506600
2017-04-21,76.63180541992188,1501100
2017-04-24,77.36054229736328,1312900
2017-04-25,78.61104583740234,1759800
2017-04-26,78.99788665771484,2709600
2017-04-27,78.64701843261719,1603700
2017-04-28,78.39511108398438,1717000
2017-05-01,78.43108367919922,1562200
2017-05-02,78.70098114013672,2660800
2017-05-03,82.13764953613281,5116200
2017-05-04,82.64144897460938,2483000
2017-05-05,83.54109954833984,2086100
2017-05-08,83.31619262695312,1586500
2017-05-09,83.64905548095703,2162400
2017-05-10,84.63867950439453,2572100
2017-05-11,83.57708740234375,2338500
2017-05-12,83.60405731201172,1295200
2017-05-15,83.31619262695312,1813700
2017-05-16,82.67744445800781,1646500
2017-05-17,82.85734558105469,2644700
2017-05-18,82.20962524414062,1937800
2017-05-19,83.10026550292969,3273100
2017-05-22,83.62208557128906,1199600
2017-05-23,82.75840759277344,1757100
2017-05-24,83.69403839111328,1360000
2017-05-25,84.19783782958984,1220800
2017-05-26,84.60416412353516,852600
2017-05-30,84.86601257324219,1023600
2017-05-31,85.0014419555664,1260600
2017-06-01,85.38066101074219,1373800
2017-06-02,86.79825592041016,2331500
2017-06-05,86.9517822265625,820900
2017-06-06,86.88855743408203,1419200
2017-06-07,87.14138793945312,1205600
2017-06-08,86.72602081298828,929500
2017-06-09,86.99691009521484,1206700
2017-06-12,86.6899185180664,1296500
2017-06-13,87.25875091552734,1005500
2017-06-14,87.7282943725586,1085300
2017-06-15,88.08040618896484,1096500
2017-06-16,88.0352554321289,1920800
2017-06-19,88.65828704833984,1257700
2017-06-20,87.62896728515625,1335800
2017-06-21,87.88177490234375,1358900
2017-06-22,88.0172119140625,1278700
2017-06-23,87.57477569580078,1728100
2017-06-26,87.13235473632812,1783500
2017-06-27,87.05108642578125,1505500
2017-06-28,87.41226196289062,1141400
2017-06-29,86.3377914428711,2109200
2017-06-30,86.662841796875,1290300
2017-07-03,86.50933074951172,778000
2017-07-05,86.4280776977539,1441600
2017-07-06,85.63348388671875,1575500
2017-07-07,85.12784576416016,1570500
2017-07-10,85.11883544921875,2577700
2017-07-11,84.74861907958984,1764500
2017-07-12,85.34455871582031,1553500
2017-07-13,85.53414916992188,965900
2017-07-14,86.057861328125,952700
2017-07-17,86.86146545410156,1705100
2017-07-18,86.94271850585938,1138500
2017-07-19,87.52964782714844,1065300
2017-07-20,87.68314361572266,1111200
2017-07-21,88.44156646728516,1163200
2017-07-24,88.26101684570312,859000
2017-07-25,89.16393280029297,2067600
2017-07-26,89.31741333007812,2039600
2017-07-27,89.86820983886719,1699400
2017-07-28,89.38966369628906,1532100
2017-07-31,89.3806381225586,2250200
2017-08-01,89.03752899169922,1592000
2017-08-02,88.92916870117188,1717400
2017-08-03,88.64021301269531,1046300
2017-08-04,89.01042938232422,1013900
2017-08-07,90.77114868164062,2231700
2017-08-08,91.24967956542969,2128900
2017-08-09,93.69660949707031,7523500
2017-08-10,91.81853485107422,4764900
2017-08-11,89.97655487060547,3592400
