Date,STLD
2021-04-15,47.552249908447266
2021-04-16,48.12224197387695
2021-04-19,47.832576751708984
2021-04-20,46.832759857177734
2021-04-21,47.8232307434082
2021-04-22,47.02899169921875
2021-04-23,48.486671447753906
2021-04-26,51.074989318847656
2021-04-27,51.411376953125
2021-04-28,51.5141716003418
2021-04-29,51.654327392578125
2021-04-30,50.663848876953125
2021-05-03,52.9811897277832
2021-05-04,55.513450622558594
2021-05-05,56.027374267578125
2021-05-06,57.606536865234375
2021-05-07,59.204383850097656
2021-05-10,59.783714294433594
2021-05-11,60.12010192871094
2021-05-12,56.85900115966797
2021-05-13,59.49405288696289
2021-05-14,59.57814407348633
2021-05-17,60.30698013305664
2021-05-18,59.138973236083984
2021-05-19,58.129798889160156
2021-05-20,57.88685607910156
2021-05-21,57.503753662109375
2021-05-24,57.9896354675293
2021-05-25,56.232948303222656
2021-05-26,56.933746337890625
2021-05-27,57.896202087402344
2021-05-28,58.33538055419922
2021-06-01,60.26960754394531
2021-06-02,59.56880187988281
2021-06-03,60.007972717285156
2021-06-04,60.60599899291992
2021-06-07,59.979949951171875
2021-06-08,62.14777755737305
2021-06-09,60.278953552246094
2021-06-10,60.1387939453125
2021-06-11,60.74615478515625
2021-06-14,58.989463806152344
2021-06-15,59.03618621826172
2021-06-16,58.129798889160156
2021-06-17,55.25181198120117
2021-06-18,54.03707504272461
2021-06-21,56.102134704589844
2021-06-22,56.19557189941406
2021-06-23,55.77507781982422
2021-06-24,56.98048400878906
2021-06-25,56.28901290893555
2021-06-28,54.78461456298828
2021-06-29,55.14126205444336
2021-06-30,55.939056396484375
2021-07-01,57.16858673095703
2021-07-02,56.99025344848633
2021-07-06,54.64382553100586
2021-07-07,57.45954132080078
2021-07-08,56.27693557739258
2021-07-09,57.722347259521484
2021-07-12,58.98941421508789
2021-07-13,57.41261672973633
2021-07-14,57.44078063964844
2021-07-15,57.83497619628906
2021-07-16,56.20185852050781
2021-07-19,54.33408737182617
2021-07-20,55.479148864746094
2021-07-21,55.79826354980469
2021-07-22,55.51670455932617
2021-07-23,55.450992584228516
2021-07-26,57.30937194824219
2021-07-27,57.3375244140625
2021-07-28,57.49708557128906
2021-07-29,60.67885971069336
2021-07-30,60.49113082885742
2021-08-02,59.045738220214844
