Date,EBAY
2020-05-14,38.287960052490234
2020-05-15,38.35171127319336
2020-05-18,38.70690155029297
2020-05-19,38.6158332824707
2020-05-20,38.89816665649414
2020-05-21,38.67958068847656
2020-05-22,39.572120666503906
2020-05-26,39.49015426635742
2020-05-27,40.20964050292969
2020-05-28,40.282501220703125
2020-05-29,41.62617111206055
2020-06-01,41.31538772583008
2020-06-02,42.028358459472656
2020-06-03,42.45796585083008
2020-06-04,45.11786651611328
2020-06-05,44.624271392822266
2020-06-08,44.532875061035156
2020-06-09,45.47434616088867
2020-06-10,45.01731491088867
2020-06-11,43.81991195678711
2020-06-12,43.56396484375
2020-06-15,43.774208068847656
2020-06-16,43.98442459106445
2020-06-17,44.26780700683594
2020-06-18,44.276939392089844
2020-06-19,44.13982391357422
2020-06-22,44.93505096435547
2020-06-23,45.52004623413086
2020-06-24,44.578575134277344
2020-06-25,45.15442657470703
2020-06-26,46.51637649536133
2020-06-29,46.90027618408203
2020-06-30,47.94231033325195
2020-07-01,48.408470153808594
2020-07-02,49.68815994262695
2020-07-06,51.34259796142578
2020-07-07,52.101261138916016
2020-07-08,53.262123107910156
2020-07-09,54.130470275878906
2020-07-10,54.17618179321289
2020-07-13,53.289546966552734
2020-07-14,54.00249481201172
2020-07-15,53.37179946899414
2020-07-16,53.60946273803711
2020-07-17,53.1341438293457
2020-07-20,53.4449348449707
2020-07-21,51.72649383544922
2020-07-22,51.49799728393555
2020-07-23,50.41025924682617
2020-07-24,50.38283920288086
2020-07-27,52.31150436401367
2020-07-28,51.507137298583984
2020-07-29,49.843544006347656
2020-07-30,50.017208099365234
2020-07-31,50.52908706665039
2020-08-03,51.708221435546875
2020-08-04,51.488853454589844
2020-08-05,51.79048156738281
2020-08-06,50.346275329589844
2020-08-07,50.46510314941406
2020-08-10,49.697296142578125
2020-08-11,49.624168395996094
2020-08-12,50.721038818359375
2020-08-13,51.44314193725586
2020-08-14,51.4522819519043
2020-08-17,52.42118453979492
2020-08-18,52.12868881225586
2020-08-19,52.750240325927734
2020-08-20,52.70453643798828
2020-08-21,53.207279205322266
2020-08-24,53.728294372558594
2020-08-25,53.0610237121582
