Date,BLK
2011-03-17,126.52666473388672
2011-03-18,126.93245697021484
2011-03-21,127.92980194091797
2011-03-22,127.26261138916016
2011-03-23,126.34784698486328
2011-03-24,127.62023162841797
2011-03-25,129.47048950195312
2011-03-28,128.9407958984375
2011-03-29,128.273681640625
2011-03-30,136.7610321044922
2011-03-31,138.2535858154297
2011-04-01,139.2302703857422
2011-04-04,138.23980712890625
2011-04-05,137.2012176513672
2011-04-06,137.02239990234375
2011-04-07,136.1764373779297
2011-04-08,134.8765106201172
2011-04-11,134.77333068847656
2011-04-12,133.96864318847656
2011-04-13,133.89988708496094
2011-04-14,133.00564575195312
2011-04-15,132.9093780517578
2011-04-18,131.05926513671875
2011-04-19,132.07720947265625
2011-04-20,133.23953247070312
2011-04-21,136.78858947753906
2011-04-25,135.58494567871094
2011-04-26,136.82298278808594
2011-04-27,137.4901580810547
2011-04-28,136.18331909179688
2011-04-29,134.76646423339844
2011-05-02,134.48443603515625
2011-05-03,133.48023986816406
2011-05-04,133.4390106201172
2011-05-05,131.69200134277344
2011-05-06,134.62890625
2011-05-09,135.2685089111328
2011-05-10,136.18331909179688
2011-05-11,133.789794921875
2011-05-12,134.72515869140625
2011-05-13,133.59716796875
2011-05-16,132.02212524414062
2011-05-17,131.0523681640625
2011-05-18,132.91627502441406
2011-05-19,136.25210571289062
2011-05-20,135.8463134765625
2011-05-23,133.9411163330078
2011-05-24,132.7787322998047
2011-05-25,134.4019317626953
2011-05-26,135.86688232421875
2011-05-27,138.01968383789062
2011-05-31,141.3830108642578
2011-06-01,137.11183166503906
2011-06-02,137.27011108398438
2011-06-03,134.10154724121094
2011-06-06,130.09854125976562
2011-06-07,131.3382110595703
2011-06-08,131.3727569580078
2011-06-09,133.19424438476562
2011-06-10,128.69264221191406
2011-06-13,130.8464813232422
2011-06-14,133.36050415039062
2011-06-15,129.0388641357422
2011-06-16,130.29244995117188
2011-06-17,129.74534606933594
2011-06-20,131.17198181152344
2011-06-21,132.09310913085938
2011-06-22,130.991943359375
2011-06-23,129.7660675048828
2011-06-24,127.70220947265625
2011-06-27,129.55831909179688
2011-06-28,131.07504272460938
2011-06-29,132.896484375
2011-06-30,132.84103393554688
2011-07-01,136.03384399414062
2011-07-05,134.71102905273438
2011-07-06,135.4312286376953
2011-07-07,137.46743774414062
2011-07-08,135.3620147705078
2011-07-11,129.08045959472656
2011-07-12,127.2174301147461
2011-07-13,128.1593017578125
2011-07-14,126.2339859008789
2011-07-15,127.80611419677734
2011-07-18,124.83500671386719
2011-07-19,127.2174301147461
