Date,FCX
2020-06-15,9.83421516418457
2020-06-16,10.125391006469727
2020-06-17,10.050250053405762
2020-06-18,9.918750762939453
2020-06-19,9.862394332885742
2020-06-22,10.134783744812012
2020-06-23,10.407175064086914
2020-06-24,9.928144454956055
2020-06-25,10.407175064086914
2020-06-26,10.134783744812012
2020-06-29,10.369603157043457
2020-06-30,10.867419242858887
2020-07-01,10.792277336120605
2020-07-02,10.801669120788574
2020-07-06,11.975765228271484
2020-07-07,11.956981658935547
2020-07-08,12.04151439666748
2020-07-09,12.107264518737793
2020-07-10,12.182404518127441
2020-07-13,12.229371070861816
2020-07-14,12.680221557617188
2020-07-15,12.708398818969727
2020-07-16,12.652042388916016
2020-07-17,12.755361557006836
2020-07-20,12.614473342895508
2020-07-21,12.56750774383545
2020-07-22,12.792932510375977
2020-07-23,12.511151313781738
2020-07-24,12.323295593261719
2020-07-27,12.736577987670898
2020-07-28,12.426617622375488
2020-07-29,12.492364883422852
2020-07-30,12.154227256774902
2020-07-31,12.135442733764648
2020-08-03,12.304511070251465
2020-08-04,12.163620948791504
2020-08-05,13.121683120727539
2020-08-06,13.675854682922363
2020-08-07,13.112288475036621
2020-08-10,13.50678539276123
2020-08-11,13.112288475036621
2020-08-12,13.121683120727539
2020-08-13,12.952611923217773
2020-08-14,12.943217277526855
2020-08-17,13.243785858154297
2020-08-18,13.53496265411377
2020-08-19,14.032776832580566
2020-08-20,13.807352066040039
2020-08-21,13.487998962402344
2020-08-24,13.675854682922363
2020-08-25,13.581925392150879
2020-08-26,14.098526954650879
2020-08-27,13.995208740234375
2020-08-28,14.699663162231445
2020-08-31,14.662093162536621
2020-09-01,15.197480201721191
2020-09-02,15.282013893127441
2020-09-03,14.615128517150879
2020-09-04,15.04719352722168
2020-09-08,14.765412330627441
2020-09-09,15.159907341003418
2020-09-10,14.812378883361816
2020-09-11,15.282013893127441
2020-09-14,15.366547584533691
2020-09-15,15.4135160446167
2020-09-16,15.761046409606934
2020-09-17,15.995862007141113
2020-09-18,15.967684745788574
2020-09-21,14.699663162231445
2020-09-22,14.727843284606934
2020-09-23,13.873102188110352
2020-09-24,14.446060180664062
2020-09-25,14.370917320251465
2020-09-28,14.93448257446289
2020-09-29,14.389701843261719
2020-09-30,14.690271377563477
2020-10-01,14.605735778808594
2020-10-02,14.972052574157715
2020-10-05,15.328978538513184
2020-10-06,14.765412330627441
2020-10-07,15.854971885681152
2020-10-08,15.779829025268555
2020-10-09,16.1837215423584
2020-10-12,15.789224624633789
2020-10-13,15.798617362976074
2020-10-14,15.911332130432129
2020-10-15,16.164936065673828
2020-10-16,16.108579635620117
2020-10-19,16.09918212890625
2020-10-20,16.5406436920166
2020-10-21,16.643964767456055
2020-10-22,17.23570442199707
2020-10-23,17.245105743408203
2020-10-26,16.305830001831055
2020-10-27,16.643964767456055
2020-10-28,15.8455810546875
2020-10-29,16.41853141784668
2020-10-30,16.28704071044922
2020-11-02,17.132387161254883
2020-11-03,17.630203247070312
2020-11-04,16.906965255737305
2020-11-05,17.677169799804688
2020-11-06,17.958953857421875
2020-11-09,18.58826446533203
2020-11-10,18.616443634033203
2020-11-11,18.344051361083984
2020-11-12,18.33466148376465
2020-11-13,18.91701316833496
2020-11-16,19.724788665771484
2020-11-17,19.75296974182129
2020-11-18,19.452402114868164
2020-11-19,19.82811164855957
2020-11-20,19.959604263305664
2020-11-23,20.57952880859375
2020-11-24,21.706663131713867
2020-11-25,22.11054801940918
2020-11-27,22.091758728027344
2020-11-30,21.96965980529785
2020-12-01,22.204477310180664
2020-12-02,22.617759704589844
2020-12-03,22.908935546875
2020-12-04,23.538246154785156
2020-12-07,23.087398529052734
2020-12-08,22.98407554626465
2020-12-09,22.974685668945312
2020-12-10,23.35038948059082
2020-12-11,23.115577697753906
2020-12-14,22.35476303100586
2020-12-15,22.824399948120117
2020-12-16,22.908935546875
2020-12-17,23.218889236450195
2020-12-18,23.134361267089844
2020-12-21,23.35038948059082
2020-12-22,22.777433395385742
2020-12-23,23.35038948059082
2020-12-24,23.284645080566406
2020-12-28,23.134361267089844
2020-12-29,23.237680435180664
2020-12-30,24.918983459472656
2020-12-31,24.439952850341797
2021-01-04,25.491939544677734
2021-01-05,26.647247314453125
2021-01-06,28.328556060791016
2021-01-07,29.2772216796875
2021-01-08,29.258432388305664
2021-01-11,28.47883415222168
2021-01-12,29.108152389526367
2021-01-13,28.704261779785156
2021-01-14,30.047426223754883
2021-01-15,28.50701332092285
2021-01-19,29.784433364868164
2021-01-20,29.08936882019043
2021-01-21,28.215837478637695
2021-01-22,28.638519287109375
2021-01-25,27.22020721435547
2021-01-26,25.369834899902344
2021-01-27,24.223920822143555
2021-01-28,26.10247230529785
2021-01-29,25.27590560913086
2021-02-01,26.515750885009766
2021-02-02,26.43121337890625
2021-02-03,27.426851272583008
2021-02-04,27.99041748046875
2021-02-05,29.8032169342041
2021-02-08,30.169530868530273
2021-02-09,30.075607299804688
2021-02-10,29.342975616455078
2021-02-11,29.108152389526367
2021-02-12,29.333576202392578
2021-02-16,30.90216827392578
2021-02-17,32.07626724243164
2021-02-18,32.066871643066406
2021-02-19,35.21345520019531
2021-02-22,35.767616271972656
2021-02-23,35.55158615112305
2021-02-24,35.589149475097656
2021-02-25,33.51335144042969
2021-02-26,31.850839614868164
2021-03-01,32.78071975708008
2021-03-02,33.043731689453125
2021-03-03,32.87465286254883
2021-03-04,30.714313507080078
2021-03-05,32.8934326171875
2021-03-08,32.33926010131836
2021-03-09,31.803878784179688
2021-03-10,32.3674430847168
2021-03-11,35.19466018676758
2021-03-12,35.1476936340332
2021-03-15,34.71562576293945
2021-03-16,32.86525344848633
2021-03-17,33.9172477722168
2021-03-18,33.26914596557617
2021-03-19,32.86525344848633
2021-03-22,32.884029388427734
2021-03-23,30.244680404663086
2021-03-24,29.690507888793945
2021-03-25,29.220867156982422
2021-03-26,30.958520889282227
2021-03-29,30.150747299194336
2021-03-30,30.69552993774414
2021-03-31,30.93035125732422
2021-04-01,31.709943771362305
2021-04-05,33.212791442871094
2021-04-06,32.884029388427734
2021-04-07,31.916593551635742
2021-04-08,32.282901763916016
2021-04-09,31.97294807434082
2021-04-12,31.625404357910156
2021-04-13,31.68177032470703
2021-04-14,34.18111038208008
2021-04-15,35.61198806762695
2021-04-16,35.90381622314453
2021-04-19,35.14130401611328
2021-04-20,33.77631759643555
2021-04-21,33.79514694213867
2021-04-22,32.70315170288086
2021-04-23,34.397621154785156
2021-04-26,36.76044845581055
2021-04-27,36.42155838012695
2021-04-28,37.04286193847656
2021-04-29,36.148563385009766
2021-04-30,35.49901580810547
2021-05-03,36.44038772583008
2021-05-04,36.92048645019531
2021-05-05,39.10446548461914
2021-05-06,39.6033821105957
2021-05-07,41.391990661621094
2021-05-10,40.234107971191406
2021-05-11,42.173316955566406
2021-05-12,40.2435188293457
2021-05-13,39.50925827026367
2021-05-14,39.810489654541016
2021-05-17,41.58967590332031
2021-05-18,41.07193374633789
2021-05-19,38.33253860473633
2021-05-20,38.803226470947266
2021-05-21,38.47373962402344
2021-05-24,39.13269805908203
2021-05-25,38.294883728027344
2021-05-26,38.89735794067383
2021-05-27,40.0928955078125
2021-05-28,40.215274810791016
2021-06-01,41.617916107177734
2021-06-02,40.79893112182617
2021-06-03,39.41510772705078
2021-06-04,39.283321380615234
2021-06-07,38.84088134765625
2021-06-08,38.95384216308594
2021-06-09,38.31371307373047
2021-06-10,37.78654479980469
2021-06-11,38.45491409301758
2021-06-14,37.16524124145508
2021-06-15,35.39546585083008
2021-06-16,34.88712692260742
2021-06-17,33.089115142822266
2021-06-18,32.91024398803711
2021-06-21,33.68217468261719
2021-06-22,34.35054016113281
2021-06-23,35.000083923339844
2021-06-24,35.320159912109375
2021-06-25,35.056575775146484
2021-06-28,34.58589553833008
2021-06-29,35.084815979003906
2021-06-30,34.934200286865234
2021-07-01,34.91536331176758
2021-07-02,34.96244430541992
2021-07-06,33.889286041259766
2021-07-07,34.08696365356445
2021-07-08,32.65607833862305
2021-07-09,34.35996627807617
2021-07-12,34.38820266723633
2021-07-13,33.635108947753906
2021-07-14,32.564414978027344
2021-07-15,32.441776275634766
2021-07-16,31.31918716430664
2021-07-19,30.56450653076172
2021-07-20,31.083351135253906
2021-07-21,32.68704605102539
